key_id, contract_id       , commercial_product_id, commercial_subproduct_id, contract_register_date, account_status_type, account_status_type_desc, blocking_type, blocking_type_desc, account_freeze_type, contract_status_date, contract_status_type, contract_status_type_desc, card_bin_number, card_bin_subtype_type, contract_end_date, participant_type, participation_order_number, card_status_type, card_status_date, last_four_pan_id, origin_flag, customer_id, personal_id    , personal_type, personal_verif_digit_type, customer_name                                                 , personal_type_desc  , off_loaded_porfolio_date, portfolio_buyer_company_id, buyer_name                        , off_loaded_portfolio_flag, written_off_date, written_off_flag, default_days_number, default_date, default_flag, restructured_flag, date_consult_risk_ctral, flag_consult_risk_ctral, product_desc               , audit_date             , default_status_pay, adelanto_nomina_flag, seizure_contract_id, court_order_id, court_order_entry_date, seizure_issuing_court_name                             , seizure_pay_date, seizure_flag, seizure_off_flag, default_end_date, written_off_end_date, customer_mail                    , seizure_off_date, seizure_off_desc
000058, 001300019600000058,                    96,                     3448, 2024-05-27            ,                    ,                         ,              ,                   ,                    , 2024-05-28          , 1                   , CANCELADO                ,                ,                      ,                  ,                 ,                           ,                 ,                 ,                 , ACTIVE     ,    01232829, 000000012555147,             1,                         0, RICARDO JESUS SEALES REYES                                    , Cedula Ciudadania   ,                         ,                           ,                                   , false                    ,                 , false           ,                    ,             , false       , false            ,                        , false                  , 963448                     , 2026-05-22 22:07:31.063, false             , false               ,                    ,               ,                       ,                                                        ,                 , false       , false           ,                 ,                     , ricardo_reyes147@outlook.com     ,                 , 
000290, 001300099600000290,                    96,                     3218, 0001-01-01            ,                    ,                         ,              ,                   ,                    , 2013-10-01          , 9                   , PROPUESTA                ,                ,                      ,                  ,                 ,                           ,                 ,                 ,                 , ACTIVE     ,    04167712, 000000024431518,             1,                         0, LUZ NORY OCAMPO SALAZAR                                       , Cedula Ciudadania   ,                         ,                           ,                                   , false                    ,                 , false           ,                    ,             , false       , false            ,                        , false                  , 963218                     , 2026-05-22 22:07:31.063, false             , false               ,                    ,               ,                       ,                                                        ,                 , false       , false           ,                 ,                     , luz.salazar518@protonmail.com    ,                 , 
000332, 001300099600000332,                    96,                     5136, 2013-11-06            ,                    ,                         ,              ,                   ,                    , 2022-07-14          , 1                   , CANCELADO                ,                ,                      ,                  ,                 ,                           ,                 ,                 ,                 , ACTIVE     ,    07136263, 000000025054238,             1,                         0, MARIA ESNEDA VALENCIA CALVO                                   , Cedula Ciudadania   ,                         ,                           ,                                   , false                    ,                 , false           ,                    ,             , false       , false            ,                        , false                  , 965136                     , 2026-05-22 22:07:31.063, false             , false               ,                    ,               ,                       ,                                                        ,                 , false       , false           ,                 ,                     , mcalvo238@bbva.com.co            ,                 , 
000373, 001300099600000373,                    96,                     5136, 0001-01-01            ,                    ,                         ,              ,                   ,                    , 2017-10-05          , A                   , OTRO                     ,                ,                      ,                  ,                 ,                           ,                 ,                 ,                 , ACTIVE     ,    07679301, 000000016078805,             1,                         0, LUIS CARLOS BOTERO IDARRAGA                                   , Cedula Ciudadania   ,                         ,                           ,                                   , false                    ,                 , false           ,                    ,             , false       , false            ,                        , false                  , 965136                     , 2026-05-22 22:07:31.063, false             , false               ,                    ,               ,                       ,                                                        ,                 , false       , false           ,                 ,                     , luis.idarraga805@icloud.com      ,                 , 
000712, 001300099600000712,                    96,                     5112, 0001-01-01            ,                    ,                         ,              ,                   ,                    , 2013-11-19          , 9                   , PROPUESTA                ,                ,                      ,                  ,                 ,                           ,                 ,                 ,                 , ACTIVE     ,    07732016, 000001053836011,             1,                         0, MARIANTONIA GOMEZ MURIEL                                      , Cedula Ciudadania   ,                         ,                           ,                                   , false                    ,                 , false           ,                    ,             , false       , false            ,                        , false                  , 965112                     , 2026-05-22 22:07:31.063, false             , false               ,                    ,               ,                       ,                                                        ,                 , false       , false           ,                 ,                     , mariantoniam011@protonmail.com   ,                 , 
000993, 001300099600000993,                    96,                     1783, 0001-01-01            ,                    ,                         ,              ,                   ,                    , 2019-11-23          , A                   , OTRO                     ,                ,                      ,                  ,                 ,                           ,                 ,                 ,                 , ACTIVE     ,    03218596, 000000030337003,             1,                         0, ALBA ROCIO LOPEZ SALAZAR                                      , Cedula Ciudadania   ,                         ,                           ,                                   , false                    ,                 , false           ,                    ,             , false       , false            ,                        , false                  , 961783                     , 2026-05-22 22:07:31.063, false             , false               ,                    ,               ,                       ,                                                        ,                 , false       , false           ,                 ,                     , alba_salazar003@live.com         ,                 , 
001124, 001300099600001124,                    96,                     3127, 0001-01-01            ,                    ,                         ,              ,                   ,                    , 2013-12-13          , 9                   , PROPUESTA                ,                ,                      ,                  ,                 ,                           ,                 ,                 ,                 , ACTIVE     ,    07770851, 000001053784482,             1,                         0, YUDY LUCIA ARISTIZABAL GIRALDO                                , Cedula Ciudadania   ,                         ,                           ,                                   , false                    ,                 , false           ,                    ,             , false       , false            ,                        , false                  , 963127                     , 2026-05-22 22:07:31.063, false             , false               ,                    ,               ,                       ,                                                        ,                 , false       , false           ,                 ,                     , ygiraldo482@yahoo.com            ,                 , 
001157, 001300099600001157,                    96,                     5567, 0001-01-01            ,                    ,                         ,              ,                   ,                    , 2014-06-14          , A                   , OTRO                     ,                ,                      ,                  ,                 ,                           ,                 ,                 ,                 , ACTIVE     ,    07732016, 000001053836011,             1,                         0, MARIANTONIA GOMEZ MURIEL                                      , Cedula Ciudadania   ,                         ,                           ,                                   , false                    ,                 , false           ,                    ,             , false       , false            ,                        , false                  , 965567                     , 2026-05-22 22:07:31.063, false             , false               ,                    ,               ,                       ,                                                        ,                 , false       , false           ,                 ,                     , mariantoniam011@protonmail.com   ,                 , 
001264, 001300099600001264,                    96,                     5394, 2014-02-10            ,                    ,                         ,              ,                   ,                    , 2024-02-12          , A                   , ACTIVO                   ,                ,                      ,                  ,                 ,                           ,                 ,                 ,                 , ACTIVE     ,    01227510, 000000010225566,             1,                         0, NELSON DE JESUS GONZALEZ HOYOS                                , Cedula Ciudadania   ,                         ,                           ,                                   , false                    ,                 , false           ,                    ,             , false       , false            ,                        , false                  , 965394                     , 2026-05-22 22:07:31.063, false             , false               ,                    ,               ,                       ,                                                        ,                 , false       , false           ,                 ,                     , nelsonh566@yahoo.com             ,                 , 
001421, 001300099600001421,                    96,                     3288, 0001-01-01            ,                    ,                         ,              ,                   ,                    , 2014-01-02          , A                   , OTRO                     ,                ,                      ,                  ,                 ,                           ,                 ,                 ,                 , ACTIVE     ,    07588438, 000000004457459,             1,                         0, JUAN ARBEY SALAZAR                                            , Cedula Ciudadania   ,                         ,                           ,                                   , false                    ,                 , false           ,                    ,             , false       , false            ,                        , false                  , 963288                     , 2026-05-22 22:07:31.063, false             , false               ,                    ,               ,                       ,                                                        ,                 , false       , false           ,                 ,                     , juan_salazar459@bbva.com.co      ,                 , 
001454, 001300099600001454,                    96,                     5234, 0001-01-01            ,                    ,                         ,              ,                   ,                    , 2014-01-16          , A                   , OTRO                     ,                ,                      ,                  ,                 ,                           ,                 ,                 ,                 , ACTIVE     ,    05681401, 000000075094741,             1,                         0, JAIME ANDRES MARIN MARTINEZ                                   , Cedula Ciudadania   ,                         ,                           ,                                   , false                    ,                 , false           ,                    ,             , false       , false            ,                        , false                  , 965234                     , 2026-05-22 22:07:31.063, false             , false               ,                    ,               ,                       ,                                                        ,                 , false       , false           ,                 ,                     , jaime_martinez741@outlook.com    ,                 , 
